epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,14544.9,0.45497,0.69792,0.35828,0.85552,0,0.92502,0.98544,0.94517,0.86782,0.92502,0.98544,0.94517,0.82444,0.41823,0.7492,0.26227,0.83848,0,0.0139125,0.0046375,0.0139125,0.0046375,0.0139125,0.0046375,0.0139125,0.0046375
67,14765.3,0.45345,0.7007,0.35206,0.85576,0,0.9286,0.9928,0.9441,0.8664,0.9286,0.9928,0.94411,0.82246,0.4142,0.73995,0.25665,0.83766,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
68,14985.9,0.44554,0.68629,0.35212,0.85471,0,0.92189,0.98921,0.94563,0.86973,0.92175,0.98906,0.94574,0.82556,0.4155,0.74063,0.25824,0.83953,0,0.0134175,0.0044725,0.0134175,0.0044725,0.0134175,0.0044725,0.0134175,0.0044725
69,15206.8,0.44792,0.68942,0.34489,0.8529,0,0.92394,0.99327,0.94493,0.86725,0.92394,0.99327,0.94493,0.82292,0.41747,0.75151,0.25611,0.84298,0,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
70,15427.8,0.44798,0.6865,0.3442,0.85435,0,0.9254,0.99299,0.94131,0.86124,0.92487,0.99246,0.94076,0.81861,0.41821,0.75728,0.25603,0.83901,0,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
71,15646.7,0.44519,0.68573,0.34299,0.85512,0,0.92622,0.99231,0.94283,0.86518,0.92622,0.99231,0.94283,0.81918,0.4136,0.75723,0.25566,0.83638,0,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
72,15867.6,0.44634,0.68693,0.34823,0.85406,0,0.92608,0.99239,0.94321,0.86775,0.92608,0.99239,0.94321,0.82256,0.40801,0.74899,0.25424,0.8345,0,0.0124275,0.0041425,0.0124275,0.0041425,0.0124275,0.0041425,0.0124275,0.0041425
73,16089.6,0.43642,0.6731,0.3393,0.84997,0,0.92524,0.99071,0.94447,0.86771,0.92416,0.98956,0.94421,0.82251,0.40911,0.74965,0.25653,0.83654,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
74,16313.4,0.43528,0.67128,0.33864,0.85208,0,0.9237,0.9898,0.94335,0.86617,0.9237,0.9898,0.94335,0.8198,0.4105,0.7544,0.25448,0.83662,0,0.0119325,0.0039775,0.0119325,0.0039775,0.0119325,0.0039775,0.0119325,0.0039775
75,16536.3,0.43597,0.67603,0.34134,0.8526,0,0.92592,0.98866,0.94922,0.87394,0.92592,0.98866,0.94922,0.82649,0.40946,0.74971,0.25558,0.83752,0,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
76,16757.2,0.43957,0.68818,0.33602,0.85272,0,0.92638,0.98758,0.95081,0.87619,0.92638,0.98758,0.95081,0.82779,0.4055,0.74768,0.25611,0.83569,0,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
77,16978.9,0.43517,0.67711,0.33593,0.85227,0,0.92292,0.99199,0.94508,0.86794,0.92292,0.99199,0.9442,0.82245,0.40861,0.74363,0.25144,0.83939,0,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
78,17202.4,0.43288,0.6752,0.33094,0.85131,0,0.92599,0.99107,0.94693,0.87054,0.92599,0.99107,0.94693,0.82632,0.40712,0.74244,0.24994,0.8386,0,0.0109425,0.0036475,0.0109425,0.0036475,0.0109425,0.0036475,0.0109425,0.0036475
79,17424.7,0.42809,0.66726,0.32719,0.84758,0,0.9271,0.99281,0.94505,0.86953,0.9271,0.99281,0.94505,0.82392,0.40827,0.74812,0.24855,0.8379,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
80,17648.6,0.43185,0.67284,0.32383,0.85196,0,0.92615,0.99147,0.94859,0.8755,0.92615,0.99147,0.94859,0.82695,0.40275,0.74341,0.24823,0.83558,0,0.0104475,0.0034825,0.0104475,0.0034825,0.0104475,0.0034825,0.0104475,0.0034825
81,17868,0.42582,0.66601,0.32938,0.84923,0,0.92678,0.99347,0.94828,0.87341,0.92678,0.99347,0.94828,0.82758,0.40467,0.74512,0.24845,0.83633,0,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
82,18089.4,0.42608,0.66225,0.32574,0.84769,0,0.92627,0.99285,0.94669,0.87208,0.92627,0.99285,0.94669,0.82474,0.40468,0.74955,0.24891,0.83665,0,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
83,18309.9,0.42356,0.66154,0.32687,0.84987,0,0.92345,0.99289,0.94238,0.86765,0.92345,0.99289,0.94238,0.82318,0.40478,0.74264,0.2465,0.83634,0,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235
84,18533,0.42471,0.66276,0.32417,0.84988,0,0.92331,0.99009,0.94145,0.86604,0.92331,0.99009,0.94145,0.82055,0.40277,0.7433,0.24894,0.83529,0,0.0094575,0.0031525,0.0094575,0.0031525,0.0094575,0.0031525,0.0094575,0.0031525
85,18753.4,0.41341,0.64958,0.31228,0.84491,0,0.92412,0.99131,0.94196,0.86616,0.92342,0.99061,0.94138,0.82114,0.40071,0.73824,0.25298,0.8334,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
86,18976.4,0.41809,0.64798,0.31704,0.84541,0,0.92492,0.98938,0.94207,0.86796,0.92492,0.98938,0.94207,0.82175,0.40046,0.74435,0.25101,0.83256,0,0.0089625,0.0029875,0.0089625,0.0029875,0.0089625,0.0029875,0.0089625,0.0029875
87,19197.8,0.41671,0.65188,0.31633,0.84619,0,0.92214,0.99214,0.94109,0.86749,0.92214,0.99214,0.94109,0.82006,0.4044,0.74713,0.25114,0.83503,0,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905
88,19420.3,0.41248,0.64161,0.31568,0.84446,0,0.92351,0.99072,0.94249,0.86884,0.92351,0.99072,0.94249,0.82093,0.40267,0.74477,0.25338,0.83301,0,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
89,19641.3,0.40944,0.64439,0.31219,0.84407,0,0.92215,0.99046,0.94237,0.86778,0.92215,0.99046,0.94235,0.82049,0.40621,0.7446,0.25216,0.83713,0,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
90,19863.4,0.40993,0.63692,0.3102,0.84216,0,0.92367,0.99044,0.9429,0.86829,0.92284,0.98926,0.94194,0.82158,0.40471,0.74599,0.25117,0.83604,0,0.0079725,0.0026575,0.0079725,0.0026575,0.0079725,0.0026575,0.0079725,0.0026575
91,20085.9,0.41268,0.65002,0.30972,0.846,0,0.92373,0.98941,0.94004,0.8663,0.92373,0.98941,0.94004,0.82123,0.40543,0.74678,0.2515,0.83629,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
